t,spend_nominal_p5,spend_nominal_p25,spend_nominal_p50,spend_nominal_p75,spend_nominal_p95
0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
6,298513.07413225004,298513.07413225004,298513.07413225004,298513.07413225004,298513.07413225004
7,307468.46635621757,307468.46635621757,307468.46635621757,307468.46635621757,307468.46635621757
8,316692.5203469041,316692.5203469041,316692.5203469041,316692.5203469041,316692.5203469041
9,326193.29595731123,326193.29595731123,326193.29595731123,326193.29595731123,326193.29595731123
10,335979.09483603056,335979.09483603056,335979.09483603056,335979.09483603056,335979.09483603056
11,346058.4676811115,346058.4676811115,346058.4676811115,346058.4676811115,346058.4676811115
12,356440.22171154484,356440.22171154484,356440.22171154484,356440.22171154484,356440.22171154484
13,367133.4283628912,367133.4283628912,367133.4283628912,367133.4283628912,367133.4283628912
14,378147.431213778,378147.431213778,378147.431213778,378147.431213778,378147.431213778
15,389491.8541501913,389491.8541501913,389491.8541501913,389491.8541501913,389491.8541501913
16,401176.60977469705,401176.60977469705,401176.60977469705,401176.60977469705,401176.60977469705
17,413211.90806793794,413211.90806793794,413211.90806793794,413211.90806793794,413211.90806793794
18,425608.2653099761,425608.2653099761,425608.2653099761,425608.2653099761,425608.2653099761
19,438376.5132692754,438376.5132692754,438376.5132692754,438376.5132692754,438376.5132692754
20,451527.8086673537,451527.8086673537,451527.8086673537,451527.8086673537,451527.8086673537
21,465073.6429273743,465073.6429273743,465073.6429273743,465073.6429273743,465073.6429273743
22,479025.85221519554,479025.85221519554,479025.85221519554,479025.85221519554,479025.85221519554
23,493396.62778165145,493396.62778165145,493396.62778165145,493396.62778165145,493396.62778165145
24,508198.52661510103,508198.52661510103,508198.52661510103,508198.52661510103,508198.52661510103
25,523444.48241355404,523444.48241355404,523444.48241355404,523444.48241355404,523444.48241355404
26,539147.8168859606,539147.8168859606,539147.8168859606,539147.8168859606,539147.8168859606
27,555322.2513925396,555322.2513925396,555322.2513925396,555322.2513925396,555322.2513925396
28,571981.9189343157,571981.9189343157,571981.9189343157,571981.9189343157,571981.9189343157
29,589141.3765023452,589141.3765023452,589141.3765023452,589141.3765023452,589141.3765023452
30,606815.6177974156,606815.6177974156,606815.6177974156,606815.6177974156,606815.6177974156
31,625020.086331338,625020.086331338,625020.086331338,625020.086331338,625020.086331338
32,643770.6889212782,643770.6889212782,643770.6889212782,643770.6889212782,643770.6889212782
33,663083.8095889166,663083.8095889166,663083.8095889166,663083.8095889166,663083.8095889166
34,682976.3238765841,682976.3238765841,682976.3238765841,682976.3238765841,682976.3238765841
35,703465.6135928816,703465.6135928816,703465.6135928816,703465.6135928816,703465.6135928816
36,724569.5820006682,724569.5820006682,724569.5820006682,724569.5820006682,724569.5820006682
37,746306.6694606881,746306.6694606881,746306.6694606881,746306.6694606881,746306.6694606881
38,768695.8695445089,768695.8695445089,768695.8695445089,768695.8695445089,768695.8695445089
39,791756.745630844,791756.745630844,791756.745630844,791756.745630844,791756.745630844
