t,wealth_nominal_p5,wealth_nominal_p25,wealth_nominal_p50,wealth_nominal_p75,wealth_nominal_p95
0,17000000.0,17000000.0,17000000.0,17000000.0,17000000.0
1,16194674.60297891,17361542.009202667,18237575.400680847,19237326.682131805,20741590.3795127
2,16668463.134819385,18454726.139122747,19677296.11813478,21079039.4977277,23076660.89774962
3,17286803.662203055,19556542.48971763,21171476.121603377,22999326.057807516,26214709.088427436
4,18016023.557922944,20578215.662504327,22883810.293644086,25255159.267333087,28318894.486087378
5,18976000.947057046,21975375.006809466,24567191.295329925,27403627.016913522,31247419.577391677
6,19666245.1196603,23649781.626164883,26462560.386513248,29684952.63021695,34749259.24774575
7,20301172.410298742,24594861.01626036,28054285.71260443,31839643.07635979,37977651.31960756
8,20851099.534461636,25687712.24157679,29896105.3859421,34269293.95618509,40540613.53570518
9,21812767.322384775,26940887.408107102,31546411.33441157,36361577.5670198,45275135.37731093
10,22736335.9726294,28208529.929516874,33535841.025445085,38865370.195965774,49072785.965578705
11,23754798.03270867,29834674.689163387,35366077.561380476,41646727.389401875,52630993.659809075
12,24543418.647278134,31416576.661879543,37411278.130046204,44919572.30851255,56534798.08873858
13,25296880.74370276,33208206.739317607,39339955.96150033,48006578.3049849,62510100.88723047
14,26405328.66487823,34431274.781628266,42332604.82182126,51437331.909237295,67741347.07763088
15,27780239.44838147,36396611.75159803,45022781.71691869,55285290.37264121,73553131.92621434
16,27834138.46276574,38689828.74804698,47670050.258494064,59791594.746919125,79155499.61811212
17,30066398.47389836,40278516.65654847,50548759.99741374,64624020.07332977,84182779.83680125
18,31293268.491843022,42490324.63032585,53703242.8346269,68419972.7121497,91957324.3288965
19,32530904.832792215,44168976.82552615,57200289.35573098,72198805.54375425,98616879.52327383
20,33739514.36546233,46496052.00064346,60970986.82269628,78444466.83384839,108001999.57522732
21,35772491.83849797,49637387.8411118,65466504.88347923,83728440.6488308,118274867.59587437
22,36719643.33496867,52873865.20768038,68776532.77870798,88985063.71434751,128198879.10869072
23,38328106.50663466,55953977.194710165,74039899.4638181,95107545.26868244,138839056.32714117
24,40350775.17175049,59365696.652206875,77730620.04934666,101793651.51715183,151518514.36798045
25,42471622.1809705,61835724.99144986,83773538.67329669,108822738.18999326,164774203.18844378
26,44332507.97725017,65698690.60875495,89354850.93244472,116583034.83744927,175980975.6746727
27,46186734.0941129,69515861.2965292,94898207.05386877,125482462.58393013,192639186.83706987
28,48315707.14886609,74124823.01337866,101564703.57882413,135130905.53874046,209751061.4304101
29,51091946.65909215,77982336.98228744,107720370.84176575,145873864.31468213,219419982.45008436
30,53749785.9994717,82678017.03587204,114235605.83791795,155303962.48559353,232942815.64392486
31,56063539.623085335,87394394.12590465,121884052.42388484,166444473.53848433,254734829.44457105
32,58745147.755995885,92084404.07121867,130364045.02057734,182130086.24789742,274273891.2975034
33,62384077.09869639,98418838.62929441,139231302.2865342,195083692.66698804,297728759.90753776
34,64337129.02834456,105343155.19901773,147421428.6008888,206296573.59629327,325752933.0819463
35,67873691.75120756,112756770.17230159,160484331.63351193,222753029.2670279,345287609.33764184
36,69256271.07303417,120148084.43487008,172797445.8935476,240510611.80291924,377626515.5587998
37,73986834.76849899,125510512.15756333,182182002.2142631,259980109.60420704,410915226.9694344
38,80638827.1013326,134150750.62032905,196513615.00597918,281252433.8613612,442530789.4740044
39,84012344.84544894,143810016.38749033,206511508.91477853,300703325.90668803,482347023.4318103
40,89529106.67658544,152982917.1482411,221239937.4446476,323431309.23033756,515259085.1479658
