t,wealth_real_p5,wealth_real_p25,wealth_real_p50,wealth_real_p75,wealth_real_p95
0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
1,856501.2186542853,934405.151070764,997430.8589299589,1063424.2476497912,1163670.6092335493
2,794941.5217461917,904370.805362109,991229.1366018174,1087728.259971192,1242077.4510431369
3,741386.8058265602,880238.1416193872,985987.6377635847,1108112.9609304974,1309576.1881474417
4,705249.6374682032,857435.3162956403,984345.8809387864,1127233.1198480967,1368260.242200278
5,669194.6836602798,840898.1146955513,978024.1662053658,1138493.8529271444,1425493.2690559248
6,631370.3680570567,819548.7248192786,973965.1714743502,1152695.9459882108,1481910.9313454463
7,599738.3349638171,795779.7979636957,966574.2846631652,1162853.8997087767,1528533.7970689707
8,569589.850450356,773189.0200504159,960383.5483129639,1178637.2493365353,1585733.20820103
9,534266.6220953127,753287.3857035773,952925.9574535096,1186869.5645674614,1631114.7303120971
10,501639.8130441587,738313.2671248736,948004.6304875121,1200061.7202628977,1684613.1158705568
11,472135.377415933,715650.8774000717,934741.2035868505,1211814.7360243087,1726710.7276258874
12,442560.21898665023,691636.0483329891,925252.3538075832,1222989.1714279624,1798764.3735608927
13,412126.99045115453,671798.0519904887,915274.0390786475,1241025.8256653985,1838822.8275287407
14,374943.52523445315,650884.6908411079,905008.2313161776,1246326.9566192408,1893592.0549529789
15,344949.9027537253,628300.9651020842,895829.9386852521,1264533.7028972046,1968350.3538409288
16,314123.9203407321,610345.0452931178,888620.0354687081,1273412.6897400822,2034921.7074048263
17,280445.5465043258,584553.5059618935,877530.3180635917,1284083.871343336,2116230.0924858237
18,248601.65172977175,565939.3251793006,873259.4200733863,1293265.6489849775,2167111.1063260892
19,215810.0922589025,538953.3801849526,854971.140552152,1303371.297050576,2231978.8676509415
20,179472.65599358408,514828.5602711303,843593.7303621577,1320225.0858954503,2302949.007479729
21,143140.43541894102,487352.5348011357,833339.2556796509,1338002.5895360527,2380974.9475319847
22,106900.43081278642,466003.26255851355,818645.9593600682,1350639.847228333,2471071.068704054
23,70615.57924667768,438947.2389694654,805152.2534773501,1353275.183421016,2549572.1772094397
24,32538.459248639767,406901.03962890425,788707.572536049,1375219.9429418615,2649087.910704466
25,0.0,381770.3453976917,774316.7579267577,1386727.2626415433,2734886.4898323165
26,0.0,352506.04420844105,759702.3551073702,1398072.6326174128,2840597.429518315
27,0.0,322930.67755843914,743128.5511946074,1406505.6834520367,2948507.188414467
28,0.0,290725.01165534015,732141.6796428789,1416889.4590520544,3038446.7137028323
29,0.0,257984.8416328351,709524.2324039985,1429671.4338388988,3126065.667940792
30,0.0,224421.67546202743,691218.5986846633,1443091.1620869127,3223288.2835604013
